Flow rate (uL/s),Tube Number,Before (g),After (g),Difference (g),Percent error from 1 (%),,,,,,,,,,
6.25,1,1.066,2.063,0.997,-0.3,,,,,,,,,,
6.25,2,1.068,2.027,0.959,-4.1,,,,,,,,,,   
6.25,3,1.068,2.027,0.959,-4.1,,,,,,,,,,
6.25,4,1.068,2.079,1.011,1.1,,,,,,,,,,
6.25,5,1.068,2.053,0.985,-1.5,,,,,,,,,,
6.25,6,1.069,2.048,0.979,-2.1,,,,,,,,,,
6.25,7,1.045,2.04,0.995,-0.5,,,,,,,,,,
6.25,8,1.054,2.049,0.995,-0.5,,,,,,,,,,
6.25,9,1.061,2.034,0.973,-2.7,,,,,,,,,,
6.25,10,1.063,2.078,1.015,1.5,,,,,,,,,,
6.25,11,1.063,2.057,0.994,-0.6,,,,,,,,,,
6.25,12,1.067,2.033,0.966,-3.4,,,,,,,,,,
6.25,13,1.062,2.067,1.005,0.5,,,,,,,,,,
6.25,14,1.062,2.01,0.948,-5.2,,,,,,,,,,
6.25,15,1.057,2.043,0.986,-1.4,,,,,,,,,,
6.25,16,1.06,2.026,0.966,-3.4,,,,,,,,,,
6.25,17,1.06,2.069,1.009,0.9,,,,,,,,,,
6.25,18,1.064,2.023,0.959,-4.1,,,,,,,,,,
6.25,19,1.065,2.061,0.996,-0.4,,,,,,,,,,
6.25,20,1.056,2.084,1.028,2.8,,,,,,,,,,
6.25,21,1.055,2.042,0.987,-1.3,,,,,,,,,,
6.25,22,1.072,2.029,0.957,-4.3,,,,,,,,,,
6.25,23,1.068,2.065,0.997,-0.3,,,,,,,,,,
6.25,24,1.06,2.058,0.998,-0.2,,,,,,,,,,
6.25,25,1.064,2.064,1,0,,,,,,,,,,
6.25,26,1.053,2.034,0.981,-1.9,,,,,,,,,,
6.25,27,1.054,2.063,1.009,0.9,,,,,,,,,,
6.25,28,1.052,2.031,0.979,-2.1,,,,,,,,,,
6.25,29,1.065,2.055,0.99,-1,,,,,,,,,,
6.25,30,1.064,2.04,0.976,-2.4,,,,,,,,,,
200,1,1.05,1.944,0.894,-10.6,,,,,,,,,,
200,2,1.048,2.009,0.961,-3.9,,,,,,,,,,
200,3,1.062,2.03,0.968,-3.2,,,,,,,,,,
200,4,1.061,2.027,0.966,-3.4,,,,,,,,,,
200,5,1.045,2.048,1.003,0.3,,,,,,,,,,
200,6,1.065,2.078,1.013,1.3,,,,,,,,,,
200,7,1.065,2.056,0.991,-0.9,,,,,,,,,,
200,8,1.054,2.082,1.028,2.8,,,,,,,,,,
200,9,1.06,2.07,1.01,1,,,,,,,,,,
200,10,1.058,2.041,0.983,-1.7,,,,,,,,,,
200,11,1.043,2.071,1.028,2.8,,,,,,,,,,
200,12,1.048,2.052,1.004,0.4,,,,,,,,,,
200,13,1.066,2.057,0.991,-0.9,,,,,,,,,,
200,14,1.049,2.047,0.998,-0.2,,,,,,,,,,
