Trial	Experiment [mL/s]	Total weight [mg]	Fluid weight [mg]
1	0.2	2242.7	1004.72
2	0.2	2272.1	1034.12
3	0.2	2241.8	1003.82
4	0.2	2234.9	996.92
5	0.2	2267.2	1029.22
6	0.2	2217.8	979.82
7	0.2	2267.8	1029.82
8	0.2	2267.9	1029.92
9	0.2	2222	984.02
10	0.2	2214.2	976.22
11	0.2	2297	1059.02
12	0.2	2269.9	1031.92
13	0.2	2257.6	1019.62
14	0.2	2289.8	1051.82
15	0.2	2248.3	1010.32
16	0.2	2260.7	1022.72
17	0.2	2237.8	999.82
18	0.2	2217.2	979.22
19	0.2	2264.5	1026.52
20	0.2	2267.5	1029.52
21	0.2	2246.4	1008.42
22	0.2	2255.9	1017.92
23	0.2	2261.5	1023.52
24	0.2	2250.9	1012.92
25	0.2	2248.7	1010.72
26	0.2	2249.1	1011.12
27	0.2	2238.4	1000.42
28	0.2	2211	973.02
29	0.2	2291.1	1053.12
30	0.2	2289.1	1051.12
31	0.2	2263.6	1025.62
32	0.2	2282.1	1044.12
33	0.2	2239.1	1001.12
34	0.2	2252.5	1014.52
35	0.2	2271.2	1033.22
36	0.2	2245.3	1007.32
37	0.2	2294.3	1056.32
38	0.2	2272.7	1034.72
39	0.2	2260.4	1022.42
40	0.2	2272.9	1034.92
41	0.2	2243.2	1005.22
42	0.2	2260.1	1022.12
43	0.2	2249.5	1011.52
44	0.2	2288.3	1050.32
45	0.2	2255.6	1017.62
46	0.2	2247	1009.02
47	0.2	2254.2	1016.22
48	0.2	2265.7	1027.72
49	0.2	2263.9	1025.92
50	0.2	2277.2	1039.22
51	0.1	1760.3	522.32
52	0.1	1750.4	512.42
53	0.1	1755.6	517.62
54	0.1	1750.3	512.32
55	0.1	1722.1	484.12
56	0.1	1746.6	508.62
57	0.1	1742.1	504.12
58	0.1	1747.7	509.72
59	0.1	1747.6	509.62
60	0.1	1774.8	536.82
61	0.1	1780.8	542.82
62	0.1	1745.8	507.82
63	0.1	1767.6	529.62
64	0.1	1736.7	498.72
65	0.1	1732.4	494.42
66	0.1	1745.6	507.62
67	0.1	1734	496.02
68	0.1	1732.6	494.62
69	0.1	1778	540.02
70	0.1	1754.1	516.12
71	0.1	1746.9	508.92
72	0.1	1722.2	484.22
73	0.1	1746.6	508.62
74	0.1	1756.7	518.72
75	0.1	1739.7	501.72
76	0.1	1692.7	454.72
77	0.1	1757.6	519.62
78	0.1	1750.9	512.92
79	0.1	1720.8	482.82
80	0.1	1746.4	508.42
81	0.1	1723.6	485.62
82	0.1	1752.5	514.52
83	0.1	1742.9	504.92
84	0.1	1756	518.02
85	0.1	1739.7	501.72
86	0.1	1731.1	493.12
87	0.1	1750.3	512.32
88	0.1	1742.7	504.72
89	0.1	1749.2	511.22
90	0.1	1748.8	510.82
91	0.1	1780.6	542.62
92	0.1	1774.5	536.52
93	0.1	1732	494.02
94	0.1	1760	522.02
95	0.1	1730.9	492.92
96	0.1	1752.3	514.32
97	0.1	1764.4	526.42
98	0.1	1766.1	528.12
99	0.1	1738.8	500.82
100	0.1	1747.3	509.32
101	0.05	1477.6	239.62
102	0.05	1521.5	283.52
103	0.05	1518.2	280.22
104	0.05	1495.6	257.62
105	0.05	1468.1	230.12
106	0.05	1466	228.02
107	0.05	1504	266.02
108	0.05	1541.2	303.22
109	0.05	1507.4	269.42
110	0.05	1481	243.02
111	0.05	1473.3	235.32
112	0.05	1469.6	231.62
113	0.05	1515.8	277.82
114	0.05	1496.5	258.52
115	0.05	1498.6	260.62
116	0.05	1514	276.02
117	0.05	1512.2	274.22
118	0.05	1495.4	257.42
119	0.05	1520.4	282.42
120	0.05	1517.2	279.22
121	0.05	1488.3	250.32
122	0.05	1521.3	283.32
123	0.05	1488.4	250.42
124	0.05	1479.8	241.82
125	0.05	1472.8	234.82
126	0.05	1502.8	264.82
127	0.05	1474.5	236.52
128	0.05	1462.3	224.32
129	0.05	1517.5	279.52
130	0.05	1502.8	264.82
131	0.05	1479.4	241.42
132	0.05	1485.4	247.42
133	0.05	1495.4	257.42
134	0.05	1476	238.02
135	0.05	1498.7	260.72
136	0.05	1538	300.02
137	0.05	1502.5	264.52
138	0.05	1493.3	255.32
139	0.05	1520.9	282.92
140	0.05	1488.5	250.52
141	0.05	1505.5	267.52
142	0.05	1537.7	299.72
143	0.05	1518.3	280.32
144	0.05	1465.5	227.52
145	0.05	1499.6	261.62
146	0.05	1502.4	264.42
147	0.05	1456.7	218.72
148	0.05	1456.1	218.12
149	0.05	1485.1	247.12
150	0.05	1485.7	247.72
151	0.025	1394.7	156.72
152	0.025	1355.5	117.52
153	0.025	1340.3	102.32
154	0.025	1378.9	140.92
155	0.025	1396.3	158.32
156	0.025	1379.2	141.22
157	0.025	1395.8	157.82
158	0.025	1381.1	143.12
159	0.025	1348.9	110.92
160	0.025	1403.9	165.92
161	0.025	1351.9	113.92
162	0.025	1352.4	114.42
163	0.025	1378.4	140.42
164	0.025	1366.8	128.82
165	0.025	1394	156.02
166	0.025	1356.3	118.32
167	0.025	1354.4	116.42
168	0.025	1355.2	117.22
169	0.025	1368.4	130.42
170	0.025	1340.6	102.62
171	0.025	1390.8	152.82
172	0.025	1358.8	120.82
173	0.025	1349.3	111.32
174	0.025	1352.3	114.32
175	0.025	1361	123.02
176	0.025	1410.2	172.22
177	0.025	1363.9	125.92
178	0.025	1362.3	124.32
179	0.025	1348.1	110.12
180	0.025	1359.1	121.12
181	0.025	1378.5	140.52
182	0.025	1360.6	122.62
183	0.025	1386.2	148.22
184	0.025	1362.2	124.22
185	0.025	1353.4	115.42
186	0.025	1366.3	128.32
187	0.025	1381.3	143.32
188	0.025	1375	137.02
189	0.025	1375.7	137.72
190	0.025	1366.6	128.62
191	0.025	1358.2	120.22
192	0.025	1404	166.02
193	0.025	1367.8	129.82
194	0.025	1346.8	108.82
195	0.025	1357.5	119.52
196	0.025	1407.8	169.82
197	0.025	1341.4	103.42
198	0.025	1361	123.02
199	0.025	1405.5	167.52
200	0.025	1352	114.02
