Collection Time (s)	Experiment	Total weight [mg]	Fluid weight [mg]
2	1	1348.2	110.22
4	1	1477.7	239.72
6	1	1561.2	323.22
8	1	1619.7	381.72
10	1	1785.7	547.72
12	1	1853.2	615.22
14	1	1906.8	668.82
16	1	2023.3	785.32
18	1	2152.6	914.62
20	1	2266.6	1028.62
22	1	2306.3	1068.32
24	1	2489.4	1251.42
26	1	2519.1	1281.12
28	1	2644.5	1406.52
30	1	2726.7	1488.72
2	2	1331.9	93.92
4	2	1483.5	245.52
6	2	1515	277.02
8	2	1626.2	388.22
10	2	1772.3	534.32
12	2	1883.5	645.52
14	2	1907.9	669.92
16	2	2037.3	799.32
18	2	2188.4	950.42
20	2	2233.8	995.82
22	2	2304.9	1066.92
24	2	2500.5	1262.52
26	2	2536.5	1298.52
28	2	2622.3	1384.32
30	2	2723.2	1485.22
2	3	1380.2	142.22
4	3	1437.5	199.52
6	3	1554.8	316.82
8	3	1632	394.02
10	3	1772.2	534.22
12	3	1846.1	608.12
14	3	1959.6	721.62
16	3	2028	790.02
18	3	2141.4	903.42
20	3	2250.8	1012.82
22	3	2289.6	1051.62
24	3	2472.3	1234.32
26	3	2559	1321.02
28	3	2585.9	1347.92
30	3	2758.4	1520.42
